# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 36
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: 
# Data supplier: 
# Location name: WCO
# Position (lat, lon, elev(m)): 41.965827, -71.183225, 30
# Local timezone: EST5EDT
# Time Synchronization: 0
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 5602
# SQM hardware identity: 0080A3EABD46
# SQM firmware version: 4-3-79
# SQM cover offset value: 
# SQM readout test ix: i,00000004,00000003,00000079,00005602
# SQM readout test rx: u, 00.00m,0000533607Hz,0000000000c,0000000.000s, 026.7C
# SQM readout test cx: c,00000019.98m,0000116.522s, 020.6C,00000008.71m, 034.4C
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.312
# UDM setting: Logged continuously every 1 minute on the minute,Threshold = 10 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2023-02-27T22:48:00.082;2023-02-27T17:48:00.082;15.4;0;8776;10.13
2023-02-27T22:49:00.079;2023-02-27T17:49:00.079;15.1;0;7239;10.33
2023-02-27T22:50:00.090;2023-02-27T17:50:00.090;15.1;0;5799;10.57
2023-02-27T22:51:00.086;2023-02-27T17:51:00.086;15.1;0;4601;10.83
2023-02-27T22:52:00.108;2023-02-27T17:52:00.108;15.1;0;3696;11.06
2023-02-27T22:53:00.097;2023-02-27T17:53:00.097;15.1;0;2970;11.30
2023-02-27T22:54:00.092;2023-02-27T17:54:00.092;15.1;0;2328;11.57
2023-02-27T22:55:00.090;2023-02-27T17:55:00.090;15.1;0;1875;11.80
2023-02-27T22:56:00.086;2023-02-27T17:56:00.086;15.1;0;1474;12.06
2023-02-27T22:57:00.083;2023-02-27T17:57:00.083;15.1;390;1154;12.33
2023-02-27T22:58:00.079;2023-02-27T17:58:00.079;15.1;483;935;12.56
2023-02-27T22:59:00.101;2023-02-27T17:59:00.101;15.1;605;750;12.79
2023-02-27T23:00:00.105;2023-02-27T18:00:00.105;15.1;741;602;12.99
2023-02-27T23:01:00.100;2023-02-27T18:01:00.100;15.1;916;499;13.23
2023-02-27T23:02:00.080;2023-02-27T18:02:00.080;14.8;1087;419;13.40
2023-02-27T23:03:00.092;2023-02-27T18:03:00.092;14.8;1302;342;13.60
2023-02-27T23:04:00.105;2023-02-27T18:04:00.105;15.1;1673;273;13.88
2023-02-27T23:05:00.086;2023-02-27T18:05:00.086;15.1;2176;221;14.16
2023-02-27T23:06:00.107;2023-02-27T18:06:00.107;15.1;2669;179;14.38
2023-02-27T23:07:00.096;2023-02-27T18:07:00.096;15.1;3010;146;14.52
