# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 36
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: 
# Data supplier: 
# Location name: WCO
# Position (lat, lon, elev(m)): 41.965827, -71.183225, 30
# Local timezone: EST5EDT
# Time Synchronization: 0
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 5602
# SQM hardware identity: 0080A3EABD46
# SQM firmware version: 4-3-79
# SQM cover offset value: 
# SQM readout test ix: i,00000004,00000003,00000079,00005602
# SQM readout test rx: u, 00.00m,0000535255Hz,0000000000c,0000000.000s, 036.7C
# SQM readout test cx: c,00000019.98m,0000116.522s, 020.6C,00000008.71m, 034.4C
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.312
# UDM setting: Logged continuously every 1 minute on the minute,Threshold = 10 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2022-10-31T21:56:00.087;2022-10-31T17:56:00.087;30.2;0;9122;10.09
2022-10-31T21:57:00.100;2022-10-31T17:57:00.100;30.2;0;7478;10.30
2022-10-31T21:58:00.094;2022-10-31T17:58:00.094;30.2;0;6105;10.52
2022-10-31T21:59:00.124;2022-10-31T17:59:00.124;29.9;0;4945;10.75
2022-10-31T22:00:00.098;2022-10-31T18:00:00.098;29.9;0;3979;10.98
2022-10-31T22:01:00.090;2022-10-31T18:01:00.090;29.9;0;3197;11.22
2022-10-31T22:02:00.101;2022-10-31T18:02:00.101;29.9;0;2562;11.46
2022-10-31T22:03:00.118;2022-10-31T18:03:00.118;29.9;0;2042;11.71
2022-10-31T22:04:00.096;2022-10-31T18:04:00.096;29.9;0;1623;11.96
2022-10-31T22:05:00.091;2022-10-31T18:05:00.091;29.9;345;1293;12.21
2022-10-31T22:06:00.101;2022-10-31T18:06:00.101;29.9;437;1033;12.45
2022-10-31T22:07:00.101;2022-10-31T18:07:00.101;29.9;548;826;12.69
2022-10-31T22:08:00.127;2022-10-31T18:08:00.127;29.9;664;662;12.93
2022-10-31T22:09:00.100;2022-10-31T18:09:00.100;29.9;828;530;13.11
2022-10-31T22:10:00.104;2022-10-31T18:10:00.104;29.9;1117;424;13.43
2022-10-31T22:11:00.117;2022-10-31T18:11:00.117;29.9;1379;342;13.67
2022-10-31T22:12:00.091;2022-10-31T18:12:00.091;29.9;1601;276;13.83
2022-10-31T22:13:00.093;2022-10-31T18:13:00.093;29.9;2180;223;14.17
2022-10-31T22:14:00.098;2022-10-31T18:14:00.098;29.9;2474;182;14.30
2022-10-31T22:15:00.094;2022-10-31T18:15:00.094;29.9;3255;150;14.60
2022-10-31T22:16:00.099;2022-10-31T18:16:00.099;29.6;3888;125;14.79
2022-10-31T22:17:00.102;2022-10-31T18:17:00.102;29.9;4641;105;14.99
2022-10-31T22:18:00.091;2022-10-31T18:18:00.091;29.6;5467;87;15.16
2022-10-31T22:19:00.095;2022-10-31T18:19:00.095;29.6;6380;73;15.33
2022-10-31T22:20:00.086;2022-10-31T18:20:00.086;29.6;7554;60;15.52
2022-10-31T22:21:00.098;2022-10-31T18:21:00.098;29.6;9436;52;15.75
2022-10-31T22:22:00.103;2022-10-31T18:22:00.103;29.6;11207;43;15.94
2022-10-31T22:23:00.109;2022-10-31T18:23:00.109;29.6;12963;37;16.10
2022-10-31T22:24:00.095;2022-10-31T18:24:00.095;29.6;14677;31;16.24
2022-10-31T22:25:00.098;2022-10-31T18:25:00.098;29.6;17232;26;16.40
2022-10-31T22:26:00.093;2022-10-31T18:26:00.093;29.6;21968;22;16.67
2022-10-31T22:27:00.113;2022-10-31T18:27:00.113;29.6;24977;18;16.81
2022-10-31T22:28:00.113;2022-10-31T18:28:00.113;29.6;28926;16;16.97
2022-10-31T22:29:00.104;2022-10-31T18:29:00.104;29.6;30981;15;17.05
2022-10-31T22:30:00.087;2022-10-31T18:30:00.087;29.6;32551;13;17.10
2022-10-31T22:31:00.110;2022-10-31T18:31:00.110;29.6;32940;13;17.11
2022-10-31T22:32:00.114;2022-10-31T18:32:00.114;29.6;34340;13;17.16
2022-10-31T22:33:00.092;2022-10-31T18:33:00.092;29.6;37736;13;17.26
2022-10-31T22:34:00.103;2022-10-31T18:34:00.103;29.6;38738;12;17.29
2022-10-31T22:35:00.116;2022-10-31T18:35:00.116;29.6;44758;10;17.44
2022-10-31T22:36:00.112;2022-10-31T18:36:00.112;29.6;46684;9;17.49
2022-10-31T22:37:00.121;2022-10-31T18:37:00.121;29.6;55542;8;17.68
2022-10-31T22:38:00.100;2022-10-31T18:38:00.100;29.6;62385;7;17.80
2022-10-31T22:39:00.129;2022-10-31T18:39:00.129;29.6;74677;6;17.99
2022-10-31T22:40:00.107;2022-10-31T18:40:00.107;29.6;84103;5;18.13
2022-10-31T22:41:00.119;2022-10-31T18:41:00.119;29.6;87518;6;18.17
2022-10-31T22:42:00.099;2022-10-31T18:42:00.099;29.6;94622;5;18.26
2022-10-31T22:43:00.095;2022-10-31T18:43:00.095;29.6;106325;5;18.38
2022-10-31T22:44:00.099;2022-10-31T18:44:00.099;29.6;107138;5;18.39
2022-10-31T22:45:00.116;2022-10-31T18:45:00.116;29.6;107674;4;18.40
2022-10-31T22:46:00.098;2022-10-31T18:46:00.098;29.6;99585;4;18.31
2022-10-31T22:47:00.110;2022-10-31T18:47:00.110;29.6;83429;5;18.11
2022-10-31T22:48:00.104;2022-10-31T18:48:00.104;29.6;76722;6;18.02
2022-10-31T22:49:00.101;2022-10-31T18:49:00.101;29.6;83981;6;18.13
2022-10-31T22:50:00.111;2022-10-31T18:50:00.111;29.6;91594;5;18.22
2022-10-31T22:51:00.093;2022-10-31T18:51:00.093;29.6;84937;6;18.13
2022-10-31T22:52:00.120;2022-10-31T18:52:00.120;29.3;89361;5;18.19
2022-10-31T22:53:00.111;2022-10-31T18:53:00.111;29.6;76622;6;18.02
2022-10-31T22:54:00.104;2022-10-31T18:54:00.104;29.6;76025;6;18.02
2022-10-31T22:55:00.105;2022-10-31T18:55:00.105;29.6;69057;7;17.91
