# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 36
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: 
# Data supplier: 
# Location name: WCO
# Position (lat, lon, elev(m)): 41.965827, -71.183225, 30
# Local timezone: EST5EDT
# Time Synchronization: 0
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 5602
# SQM hardware identity: 0080A3EABD46
# SQM firmware version: 4-3-79
# SQM cover offset value: 
# SQM readout test ix: i,00000004,00000003,00000079,00005602
# SQM readout test rx: u, 18.54m,0000000004Hz,0000121903c,0000000.265s, 023.5C
# SQM readout test cx: c,00000019.98m,0000116.522s, 020.6C,00000008.71m, 034.4C
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.312
# UDM setting: Logged continuously every 1 minute on the minute,Threshold = 10 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2023-05-06T01:55:19.948;2023-05-05T21:55:19.948;23.5;122202;4;18.54
2023-05-06T01:56:00.105;2023-05-05T21:56:00.105;23.5;121797;3;18.53
2023-05-06T01:57:00.107;2023-05-05T21:57:00.107;23.5;121872;4;18.54
2023-05-06T01:58:00.106;2023-05-05T21:58:00.106;23.5;121404;4;18.53
2023-05-06T01:59:00.098;2023-05-05T21:59:00.098;23.5;121375;4;18.53
2023-05-06T02:00:00.108;2023-05-05T22:00:00.108;23.5;122556;4;18.54
2023-05-06T02:01:00.104;2023-05-05T22:01:00.104;23.5;117791;4;18.50
2023-05-06T02:02:00.108;2023-05-05T22:02:00.108;23.5;122540;4;18.54
2023-05-06T02:03:00.102;2023-05-05T22:03:00.102;23.5;122563;4;18.54
2023-05-06T02:04:00.100;2023-05-05T22:04:00.100;23.5;122409;4;18.54
2023-05-06T02:05:00.103;2023-05-05T22:05:00.103;23.5;127714;4;18.58
2023-05-06T02:06:00.131;2023-05-05T22:06:00.131;23.5;122646;3;18.54
2023-05-06T02:07:00.101;2023-05-05T22:07:00.101;23.5;122567;4;18.54
2023-05-06T02:08:00.100;2023-05-05T22:08:00.100;23.5;122550;4;18.54
2023-05-06T02:09:00.352;2023-05-05T22:09:00.352;23.5;117757;4;18.50
2023-05-06T02:10:00.103;2023-05-05T22:10:00.103;23.5;121849;4;18.53
2023-05-06T02:11:00.095;2023-05-05T22:11:00.095;23.5;121726;4;18.53
2023-05-06T02:12:00.100;2023-05-05T22:12:00.100;23.5;120587;3;18.52
2023-05-06T02:13:00.104;2023-05-05T22:13:00.104;23.5;120462;4;18.52
2023-05-06T02:14:00.350;2023-05-05T22:14:00.350;23.5;122331;4;18.54
2023-05-06T02:15:00.091;2023-05-05T22:15:00.091;23.5;122078;4;18.54
2023-05-06T02:16:00.120;2023-05-05T22:16:00.120;23.5;120874;4;18.53
2023-05-06T02:17:00.102;2023-05-05T22:17:00.101;23.5;122217;3;18.54
2023-05-06T02:18:00.097;2023-05-05T22:18:00.097;23.2;116015;4;18.48
2023-05-06T02:19:00.094;2023-05-05T22:19:00.094;23.2;122365;4;18.54
2023-05-06T02:20:00.093;2023-05-05T22:20:00.093;23.2;117573;4;18.50
2023-05-06T02:21:00.094;2023-05-05T22:21:00.094;23.2;120220;4;18.52
2023-05-06T02:22:00.091;2023-05-05T22:22:00.091;23.2;120364;3;18.52
2023-05-06T02:23:00.091;2023-05-05T22:23:00.091;23.2;115867;4;18.48
2023-05-06T02:24:00.091;2023-05-05T22:24:00.091;23.2;115893;4;18.48
2023-05-06T02:25:00.091;2023-05-05T22:25:00.091;23.2;116230;4;18.48
2023-05-06T02:26:00.093;2023-05-05T22:26:00.093;23.2;122008;4;18.54
2023-05-06T02:27:00.091;2023-05-05T22:27:00.091;23.2;115684;4;18.48
2023-05-06T02:28:00.091;2023-05-05T22:28:00.091;23.2;115685;4;18.48
2023-05-06T02:29:00.090;2023-05-05T22:29:00.090;23.2;115840;4;18.48
2023-05-06T02:30:00.091;2023-05-05T22:30:00.091;23.2;117294;4;18.50
2023-05-06T02:31:00.092;2023-05-05T22:31:00.092;23.2;115514;4;18.48
2023-05-06T02:32:00.091;2023-05-05T22:32:00.091;23.2;121756;4;18.53
2023-05-06T02:33:00.091;2023-05-05T22:33:00.091;23.2;115875;4;18.48
2023-05-06T02:34:00.090;2023-05-05T22:34:00.090;23.2;117149;4;18.49
2023-05-06T02:35:00.091;2023-05-05T22:35:00.091;23.2;115516;3;18.48
2023-05-06T02:36:00.092;2023-05-05T22:36:00.092;23.2;121013;4;18.53
2023-05-06T02:37:00.088;2023-05-05T22:37:00.088;23.2;121324;4;18.53
