# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 36
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: 
# Data supplier: 
# Location name: WCO
# Position (lat, lon, elev(m)): 41.965827, -71.183225, 30
# Local timezone: EST5EDT
# Time Synchronization: 0
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 5602
# SQM hardware identity: 0080A3EABD46
# SQM firmware version: 4-3-79
# SQM cover offset value: 
# SQM readout test ix: i,00000004,00000003,00000079,00005602
# SQM readout test rx: u, 06.55m,0000235965Hz,0000000000c,0000000.000s, 015.4C
# SQM readout test cx: c,00000019.98m,0000116.522s, 020.6C,00000008.71m, 034.4C
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.312
# UDM setting: Logged continuously every 1 minute on the minute,Threshold = 10 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2023-01-06T21:32:00.084;2023-01-06T16:32:00.084;12.5;0;9690;10.02
2023-01-06T21:33:00.094;2023-01-06T16:33:00.094;12.5;0;8778;10.13
2023-01-06T21:34:00.088;2023-01-06T16:34:00.088;12.5;0;7889;10.24
2023-01-06T21:35:00.097;2023-01-06T16:35:00.097;12.8;0;7171;10.34
2023-01-06T21:36:00.101;2023-01-06T16:36:00.101;12.5;0;6518;10.45
2023-01-06T21:37:00.093;2023-01-06T16:37:00.093;12.5;0;5779;10.58
2023-01-06T21:38:00.087;2023-01-06T16:38:00.087;12.5;0;5143;10.71
2023-01-06T21:39:00.079;2023-01-06T16:39:00.079;12.5;0;4497;10.85
2023-01-06T21:40:00.089;2023-01-06T16:40:00.089;12.5;0;3952;10.99
2023-01-06T21:41:00.085;2023-01-06T16:41:00.085;12.5;0;3477;11.13
2023-01-06T21:42:00.109;2023-01-06T16:42:00.109;12.5;0;3016;11.28
2023-01-06T21:43:00.098;2023-01-06T16:43:00.098;12.5;0;2574;11.46
2023-01-06T21:44:00.090;2023-01-06T16:44:00.090;12.5;0;2219;11.62
2023-01-06T21:45:00.084;2023-01-06T16:45:00.084;12.5;0;1929;11.77
2023-01-06T21:46:00.093;2023-01-06T16:46:00.093;12.5;0;1636;11.95
2023-01-06T21:47:00.088;2023-01-06T16:47:00.088;12.5;0;1365;12.15
2023-01-06T21:48:00.082;2023-01-06T16:48:00.082;12.5;393;1142;12.34
2023-01-06T21:49:00.106;2023-01-06T16:49:00.106;12.5;488;952;12.53
2023-01-06T21:50:00.110;2023-01-06T16:50:00.110;12.5;602;784;12.74
2023-01-06T21:51:00.101;2023-01-06T16:51:00.101;12.5;720;653;12.96
2023-01-06T21:52:00.096;2023-01-06T16:52:00.081;12.2;822;549;13.10
2023-01-06T21:53:00.107;2023-01-06T16:53:00.107;12.5;1002;453;13.32
2023-01-06T21:54:00.102;2023-01-06T16:54:00.102;12.5;1147;370;13.46
2023-01-06T21:55:00.097;2023-01-06T16:55:00.097;12.5;1522;299;13.78
2023-01-06T21:56:00.105;2023-01-06T16:56:00.105;12.5;1952;242;14.05
2023-01-06T21:57:00.110;2023-01-06T16:57:00.110;12.5;2572;194;14.34
2023-01-06T21:58:00.103;2023-01-06T16:58:00.103;12.5;2632;156;14.37
2023-01-06T21:59:00.097;2023-01-06T16:59:00.097;12.5;3662;125;14.72
2023-01-06T22:00:00.094;2023-01-06T17:00:00.094;12.5;4083;101;14.85
2023-01-06T22:01:00.105;2023-01-06T17:01:00.105;12.5;6083;83;15.28
2023-01-06T22:02:00.114;2023-01-06T17:02:00.114;12.5;5944;70;15.25
2023-01-06T22:03:00.105;2023-01-06T17:03:00.105;12.5;7979;58;15.57
2023-01-06T22:04:00.109;2023-01-06T17:04:00.109;12.5;9117;49;15.71
2023-01-06T22:05:00.100;2023-01-06T17:05:00.100;12.5;10102;41;15.82
2023-01-06T22:06:00.095;2023-01-06T17:06:00.095;12.5;14325;34;16.21
2023-01-06T22:07:00.106;2023-01-06T17:07:00.106;12.5;15428;30;16.29
2023-01-06T22:08:00.099;2023-01-06T17:08:00.099;12.2;17102;25;16.39
2023-01-06T22:09:00.094;2023-01-06T17:09:00.094;12.5;22358;21;16.69
2023-01-06T22:10:00.103;2023-01-06T17:10:00.103;12.5;27565;19;16.92
2023-01-06T22:11:00.106;2023-01-06T17:11:00.106;12.5;29573;16;17.00
2023-01-06T22:12:00.125;2023-01-06T17:12:00.125;12.5;32634;14;17.11
2023-01-06T22:13:00.104;2023-01-06T17:13:00.104;12.5;37835;12;17.26
2023-01-06T22:14:00.098;2023-01-06T17:14:00.098;12.5;40932;11;17.35
2023-01-06T22:15:00.093;2023-01-06T17:15:00.093;12.5;46541;10;17.49
2023-01-06T22:16:00.086;2023-01-06T17:16:00.086;12.5;53177;9;17.64
2023-01-06T22:17:00.109;2023-01-06T17:17:00.109;12.5;55306;7;17.68
2023-01-06T22:18:00.097;2023-01-06T17:18:00.097;12.5;62337;8;17.81
2023-01-06T22:19:00.087;2023-01-06T17:19:00.087;12.5;70228;6;17.94
2023-01-06T22:20:00.096;2023-01-06T17:20:00.096;12.5;77538;6;18.04
2023-01-06T22:21:00.106;2023-01-06T17:21:00.106;12.5;84334;5;18.13
2023-01-06T22:22:00.084;2023-01-06T17:22:00.084;12.5;87295;6;18.17
2023-01-06T22:23:00.094;2023-01-06T17:23:00.094;12.5;96914;5;18.29
2023-01-06T22:24:00.103;2023-01-06T17:24:00.103;12.5;105179;5;18.38
2023-01-06T22:25:00.108;2023-01-06T17:25:00.108;12.5;107452;4;18.40
2023-01-06T22:26:00.097;2023-01-06T17:26:00.097;12.5;114426;4;18.47
2023-01-06T22:27:00.106;2023-01-06T17:27:00.106;12.5;108027;5;18.40
2023-01-06T22:28:00.100;2023-01-06T17:28:00.100;12.5;114545;4;18.47
2023-01-06T22:29:00.081;2023-01-06T17:29:00.081;12.5;115112;4;18.48
2023-01-06T22:30:00.093;2023-01-06T17:30:00.093;12.5;117368;4;18.50
2023-01-06T22:31:00.118;2023-01-06T17:31:00.118;12.5;122622;4;18.54
2023-01-06T22:32:00.107;2023-01-06T17:32:00.107;12.5;122985;4;18.55
2023-01-06T22:33:00.100;2023-01-06T17:33:00.100;12.5;117766;4;18.50
2023-01-06T22:34:00.095;2023-01-06T17:34:00.095;12.5;122565;4;18.54
2023-01-06T22:35:00.105;2023-01-06T17:35:00.105;12.5;116055;4;18.48
2023-01-06T22:36:00.102;2023-01-06T17:36:00.102;12.5;109118;4;18.42
2023-01-06T22:37:00.096;2023-01-06T17:37:00.096;12.5;114223;4;18.47
2023-01-06T22:38:00.088;2023-01-06T17:38:00.088;12.5;109677;4;18.42
2023-01-06T22:39:00.106;2023-01-06T17:39:00.106;12.5;107738;4;18.40
2023-01-06T22:40:00.099;2023-01-06T17:40:00.099;12.5;115190;4;18.48
2023-01-06T22:41:00.095;2023-01-06T17:41:00.095;12.5;109787;4;18.42
2023-01-06T22:42:00.105;2023-01-06T17:42:00.105;12.5;108983;4;18.41
2023-01-06T22:43:00.117;2023-01-06T17:43:00.117;12.5;109539;4;18.42
2023-01-06T22:44:00.080;2023-01-06T17:44:00.080;12.5;109686;5;18.42
2023-01-06T22:45:00.106;2023-01-06T17:45:00.106;12.5;108078;4;18.41
2023-01-06T22:46:00.094;2023-01-06T17:46:00.094;12.5;115317;4;18.48
2023-01-06T22:47:00.090;2023-01-06T17:47:00.090;12.5;115033;4;18.48
2023-01-06T22:48:00.086;2023-01-06T17:48:00.086;12.5;115382;4;18.48
2023-01-06T22:49:00.080;2023-01-06T17:49:00.080;12.5;116007;4;18.48
2023-01-06T22:50:00.092;2023-01-06T17:50:00.092;12.5;115938;4;18.48
2023-01-06T22:51:00.105;2023-01-06T17:51:00.105;12.5;121322;4;18.53
2023-01-06T22:52:00.099;2023-01-06T17:52:00.099;12.5;108846;4;18.41
2023-01-06T22:53:00.078;2023-01-06T17:53:00.078;12.5;115269;4;18.48
2023-01-06T22:54:00.088;2023-01-06T17:54:00.088;12.5;115789;4;18.48
2023-01-06T22:55:00.085;2023-01-06T17:55:00.085;12.5;115548;4;18.48
2023-01-06T22:56:00.096;2023-01-06T17:56:00.096;12.5;122956;3;18.55
2023-01-06T22:57:00.106;2023-01-06T17:57:00.106;12.5;122588;4;18.54
2023-01-06T22:58:00.101;2023-01-06T17:58:00.101;12.5;117616;4;18.50
2023-01-06T22:59:00.097;2023-01-06T17:59:00.097;12.5;122788;4;18.54
2023-01-06T23:00:00.085;2023-01-06T18:00:00.085;12.5;122581;4;18.54
2023-01-06T23:01:00.080;2023-01-06T18:01:00.080;12.5;115559;4;18.48
2023-01-06T23:02:00.105;2023-01-06T18:02:00.105;12.5;109088;4;18.42
2023-01-06T23:03:00.100;2023-01-06T18:03:00.100;12.5;114911;4;18.48
2023-01-06T23:04:00.095;2023-01-06T18:04:00.095;12.5;107293;4;18.40
2023-01-06T23:05:00.090;2023-01-06T18:05:00.090;12.5;107010;5;18.40
2023-01-06T23:06:00.084;2023-01-06T18:06:00.084;12.5;101162;4;18.33
2023-01-06T23:07:00.103;2023-01-06T18:07:00.103;12.5;99883;4;18.32
2023-01-06T23:08:00.088;2023-01-06T18:08:00.088;12.5;107343;4;18.40
2023-01-06T23:09:00.097;2023-01-06T18:09:00.097;12.5;114874;4;18.48
2023-01-06T23:10:00.107;2023-01-06T18:10:00.107;12.5;107754;4;18.40
2023-01-06T23:11:00.102;2023-01-06T18:11:00.102;12.5;108453;4;18.41
2023-01-06T23:12:00.098;2023-01-06T18:12:00.098;12.5;114615;4;18.47
2023-01-06T23:13:00.107;2023-01-06T18:13:00.107;12.5;108184;5;18.41
