# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 36
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: 
# Data supplier: 
# Location name: WCO
# Position (lat, lon, elev(m)): 41.965827, -71.183225, 30
# Local timezone: EST5EDT
# Time Synchronization: 0
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 5602
# SQM hardware identity: 0080A3EABD46
# SQM firmware version: 4-3-79
# SQM cover offset value: 
# SQM readout test ix: i,00000004,00000003,00000079,00005602
# SQM readout test rx: u, 00.00m,0000531541Hz,0000000000c,0000000.000s, 014.8C
# SQM readout test cx: c,00000019.98m,0000116.522s, 020.6C,00000008.71m, 034.4C
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.312
# UDM setting: Logged continuously every 1 minute on the minute,Threshold = 10 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2023-01-15T21:34:00.091;2023-01-15T16:34:00.091;11.9;0;9438;10.05
2023-01-15T21:35:00.095;2023-01-15T16:35:00.095;11.9;0;8823;10.13
2023-01-15T21:36:00.089;2023-01-15T16:36:00.089;11.9;0;8226;10.20
2023-01-15T21:37:00.085;2023-01-15T16:37:00.085;11.9;0;7724;10.26
2023-01-15T21:38:00.081;2023-01-15T16:38:00.081;11.6;0;7360;10.31
2023-01-15T21:39:00.093;2023-01-15T16:39:00.093;11.6;0;7025;10.37
2023-01-15T21:40:00.089;2023-01-15T16:40:00.089;11.9;0;6661;10.42
2023-01-15T21:41:00.085;2023-01-15T16:41:00.085;11.9;0;6253;10.49
2023-01-15T21:42:00.105;2023-01-15T16:42:00.105;11.9;0;5803;10.57
2023-01-15T21:43:00.093;2023-01-15T16:43:00.093;11.9;0;5364;10.66
2023-01-15T21:44:00.090;2023-01-15T16:44:00.090;11.9;0;4972;10.74
2023-01-15T21:45:00.086;2023-01-15T16:45:00.086;11.9;0;4573;10.84
2023-01-15T21:46:00.082;2023-01-15T16:46:00.082;11.9;0;4186;10.93
2023-01-15T21:47:00.094;2023-01-15T16:47:00.094;11.9;0;3803;11.03
2023-01-15T21:48:00.088;2023-01-15T16:48:00.088;11.9;0;3427;11.15
2023-01-15T21:49:00.108;2023-01-15T16:49:00.108;11.9;0;3057;11.27
2023-01-15T21:50:00.088;2023-01-15T16:50:00.088;11.6;0;2698;11.41
2023-01-15T21:51:00.085;2023-01-15T16:51:00.085;11.9;0;2369;11.54
2023-01-15T21:52:00.080;2023-01-15T16:52:00.080;11.9;0;2069;11.69
2023-01-15T21:53:00.108;2023-01-15T16:53:00.108;11.6;0;1792;11.84
2023-01-15T21:54:00.089;2023-01-15T16:54:00.089;11.6;0;1538;12.01
2023-01-15T21:55:00.084;2023-01-15T16:55:00.084;11.9;0;1318;12.19
2023-01-15T21:56:00.104;2023-01-15T16:56:00.104;11.9;382;1151;12.34
2023-01-15T21:57:00.091;2023-01-15T16:57:00.091;11.9;465;971;12.52
2023-01-15T21:58:00.117;2023-01-15T16:58:00.117;11.9;530;824;12.69
2023-01-15T21:59:00.097;2023-01-15T16:59:00.097;11.9;654;696;12.87
2023-01-15T22:00:00.109;2023-01-15T17:00:00.109;11.9;829;582;13.11
2023-01-15T22:01:00.104;2023-01-15T17:01:00.104;11.9;948;482;13.26
2023-01-15T22:02:00.084;2023-01-15T17:02:00.084;11.6;1141;399;13.45
2023-01-15T22:03:00.103;2023-01-15T17:03:00.103;11.9;1288;328;13.59
2023-01-15T22:04:00.107;2023-01-15T17:04:00.091;11.6;1731;265;13.91
2023-01-15T22:05:00.102;2023-01-15T17:05:00.087;11.9;2277;213;14.21
2023-01-15T22:06:00.097;2023-01-15T17:06:00.097;11.9;2543;170;14.33
2023-01-15T22:07:00.107;2023-01-15T17:07:00.107;11.6;3797;132;14.77
2023-01-15T22:08:00.089;2023-01-15T17:08:00.089;11.9;4871;103;15.04
2023-01-15T22:09:00.101;2023-01-15T17:09:00.101;11.9;5284;81;15.12
2023-01-15T22:10:00.105;2023-01-15T17:10:00.105;11.9;6793;65;15.40
2023-01-15T22:11:00.093;2023-01-15T17:11:00.093;11.9;8611;51;15.66
2023-01-15T22:12:00.106;2023-01-15T17:12:00.106;11.9;10416;43;15.86
2023-01-15T22:13:00.102;2023-01-15T17:13:00.102;11.9;12085;35;16.03
2023-01-15T22:14:00.082;2023-01-15T17:14:00.082;11.9;17631;29;16.43
2023-01-15T22:15:00.109;2023-01-15T17:15:00.109;11.9;20129;24;16.58
2023-01-15T22:16:00.105;2023-01-15T17:16:00.105;11.6;23014;20;16.72
2023-01-15T22:17:00.095;2023-01-15T17:17:00.095;11.6;28709;17;16.96
2023-01-15T22:18:00.099;2023-01-15T17:18:00.099;11.6;30194;16;17.01
2023-01-15T22:19:00.080;2023-01-15T17:19:00.080;11.6;35271;14;17.18
2023-01-15T22:20:00.107;2023-01-15T17:20:00.091;11.6;37763;13;17.26
2023-01-15T22:21:00.103;2023-01-15T17:21:00.103;11.6;38783;12;17.29
2023-01-15T22:22:00.099;2023-01-15T17:22:00.099;11.6;44186;11;17.43
2023-01-15T22:23:00.094;2023-01-15T17:23:00.094;11.6;45848;10;17.47
2023-01-15T22:24:00.100;2023-01-15T17:24:00.100;11.6;51648;9;17.60
2023-01-15T22:25:00.105;2023-01-15T17:25:00.105;11.6;52549;8;17.62
2023-01-15T22:26:00.083;2023-01-15T17:26:00.083;11.6;59621;8;17.76
2023-01-15T22:27:00.108;2023-01-15T17:27:00.108;11.6;62120;7;17.80
2023-01-15T22:28:00.103;2023-01-15T17:28:00.087;11.2;68600;7;17.90
2023-01-15T22:29:00.112;2023-01-15T17:29:00.112;11.2;69717;7;17.93
2023-01-15T22:30:00.093;2023-01-15T17:30:00.093;11.2;76758;6;18.02
2023-01-15T22:31:00.099;2023-01-15T17:31:00.099;11.2;77273;6;18.03
2023-01-15T22:32:00.104;2023-01-15T17:32:00.104;11.2;84115;6;18.13
2023-01-15T22:33:00.079;2023-01-15T17:33:00.079;11.2;86702;6;18.16
2023-01-15T22:34:00.090;2023-01-15T17:34:00.090;11.2;92218;5;18.23
2023-01-15T22:35:00.087;2023-01-15T17:35:00.087;11.2;91807;5;18.23
2023-01-15T22:36:00.096;2023-01-15T17:36:00.096;11.2;97458;5;18.29
2023-01-15T22:37:00.107;2023-01-15T17:37:00.107;11.2;100535;4;18.32
2023-01-15T22:38:00.099;2023-01-15T17:38:00.099;11.2;112708;4;18.45
2023-01-15T22:39:00.091;2023-01-15T17:39:00.091;11.2;108586;4;18.41
2023-01-15T22:40:00.102;2023-01-15T17:40:00.102;11.2;110365;4;18.42
2023-01-15T22:41:00.098;2023-01-15T17:41:00.098;10.9;115349;4;18.48
2023-01-15T22:42:00.079;2023-01-15T17:42:00.079;10.9;115343;4;18.48
2023-01-15T22:43:00.090;2023-01-15T17:43:00.090;10.9;121287;4;18.53
2023-01-15T22:44:00.085;2023-01-15T17:44:00.085;10.9;123478;3;18.55
2023-01-15T22:45:00.109;2023-01-15T17:45:00.109;10.9;130205;4;18.61
2023-01-15T22:46:00.084;2023-01-15T17:46:00.084;10.9;131120;3;18.62
2023-01-15T22:47:00.096;2023-01-15T17:47:00.096;10.9;138413;4;18.67
2023-01-15T22:48:00.091;2023-01-15T17:48:00.091;10.9;145021;3;18.72
2023-01-15T22:49:00.103;2023-01-15T17:49:00.103;10.9;146036;4;18.73
2023-01-15T22:50:00.085;2023-01-15T17:50:00.085;10.9;146302;3;18.73
2023-01-15T22:51:00.080;2023-01-15T17:51:00.080;10.9;146617;3;18.73
2023-01-15T22:52:00.104;2023-01-15T17:52:00.104;10.9;146471;3;18.73
2023-01-15T22:53:00.095;2023-01-15T17:53:00.095;10.9;153518;3;18.78
2023-01-15T22:54:00.091;2023-01-15T17:54:00.091;10.9;154543;3;18.79
2023-01-15T22:55:00.101;2023-01-15T17:55:00.101;10.9;160377;3;18.83
2023-01-15T22:56:00.097;2023-01-15T17:56:00.097;10.9;158914;3;18.82
2023-01-15T22:57:00.109;2023-01-15T17:57:00.109;10.9;161271;3;18.83
2023-01-15T22:58:00.090;2023-01-15T17:58:00.090;10.9;160697;3;18.83
2023-01-15T22:59:00.099;2023-01-15T17:59:00.099;10.9;153662;3;18.79
2023-01-15T23:00:00.105;2023-01-15T18:00:00.105;10.9;146780;3;18.73
2023-01-15T23:01:00.095;2023-01-15T18:01:00.095;10.9;138540;4;18.67
2023-01-15T23:02:00.104;2023-01-15T18:02:00.104;10.9;136505;4;18.66
2023-01-15T23:03:00.101;2023-01-15T18:03:00.101;10.9;128996;4;18.59
2023-01-15T23:04:00.097;2023-01-15T18:04:00.097;10.9;129042;4;18.60
2023-01-15T23:05:00.078;2023-01-15T18:05:00.078;10.9;130067;3;18.61
2023-01-15T23:06:00.103;2023-01-15T18:06:00.103;10.9;122864;3;18.54
2023-01-15T23:07:00.094;2023-01-15T18:07:00.094;10.9;117020;4;18.49
2023-01-15T23:08:00.104;2023-01-15T18:08:00.104;10.9;117709;4;18.50
2023-01-15T23:09:00.101;2023-01-15T18:09:00.101;10.9;110460;4;18.43
2023-01-15T23:10:00.111;2023-01-15T18:10:00.111;10.9;107757;4;18.40
