# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 36
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: 
# Data supplier: 
# Location name: WCO
# Position (lat, lon, elev(m)): 41.965827, -71.183225, 30
# Local timezone: EST5EDT
# Time Synchronization: 0
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 0
# SQM hardware identity: 0080A3EABD46
# SQM firmware version: 0-53254-0
# SQM cover offset value: 
# SQM readout test ix: u, 00.00m,0000532542Hz,0000000000c,0000000.000s, 022.8C,00005602
# SQM readout test rx: u, 00.00m,0000532542Hz,0000000000c,0000000.000s, 022.8C
# SQM readout test cx: c,00000019.98m,0000116.522s, 020.6C,00000008.71m, 034.4C
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.312
# UDM setting: Logged continuously every 1 minute on the minute,Threshold = 10 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2023-02-13T22:32:00.130;2023-02-13T17:32:00.130;20.3;0;8828;10.13
2023-02-13T22:33:00.126;2023-02-13T17:33:00.126;20.3;0;7215;10.34
2023-02-13T22:34:00.137;2023-02-13T17:34:00.137;20.3;0;5927;10.55
2023-02-13T22:35:00.163;2023-02-13T17:35:00.163;20.3;0;4841;10.77
2023-02-13T22:36:00.142;2023-02-13T17:36:00.142;20.3;0;3966;10.99
2023-02-13T22:37:00.146;2023-02-13T17:37:00.146;20.3;0;3312;11.18
2023-02-13T22:38:00.137;2023-02-13T17:38:00.137;20.3;0;2767;11.38
2023-02-13T22:39:00.134;2023-02-13T17:39:00.134;20.3;0;2222;11.62
2023-02-13T22:40:00.130;2023-02-13T17:40:00.130;20.3;0;1749;11.88
2023-02-13T22:41:00.141;2023-02-13T17:41:00.141;20.3;0;1390;12.13
2023-02-13T22:42:00.139;2023-02-13T17:42:00.139;20.3;413;1069;12.42
2023-02-13T22:43:00.149;2023-02-13T17:43:00.149;20.3;570;810;12.71
2023-02-13T22:44:00.153;2023-02-13T17:44:00.153;20.3;791;578;13.06
2023-02-13T22:45:00.145;2023-02-13T17:45:00.145;20.3;1041;438;13.36
2023-02-13T22:46:00.140;2023-02-13T17:46:00.140;20.3;1266;362;13.57
2023-02-13T22:47:00.151;2023-02-13T17:47:00.151;20.3;1591;288;13.82
