# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 36
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: 
# Data supplier: 
# Location name: WCO
# Position (lat, lon, elev(m)): 41.9658273, -71.1832253, 30
# Local timezone: EST5EDT
# Time Synchronization: 0
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 0
# SQM hardware identity: 0080A3EABD46
# SQM firmware version: 0-53732-0
# SQM cover offset value: 
# SQM readout test ix: u, 00.00m,0000537329Hz,0000000000c,0000000.000s, 052.8C,00005602
# SQM readout test rx: u, 00.00m,0000537329Hz,0000000000c,0000000.000s, 052.8C,00005602
# SQM readout test cx: u, 00.00m,0000537348Hz,0000000000c,0000000.000s, 052.8C,00005602
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.312
# UDM setting: Logged continuously every 5 minutes on the 1/12th hour,Threshold = 6 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2022-05-23T23:50:00.086;2022-05-23T19:50:00.086;32.2;0;367041;6.07
2022-05-23T23:55:00.082;2022-05-23T19:55:00.082;31.9;0;277705;6.38
2022-05-24T00:00:00.090;2022-05-23T20:00:00.090;31.9;0;211949;6.67
2022-05-24T00:05:00.093;2022-05-23T20:05:00.093;31.5;0;134747;7.16
2022-05-24T00:10:00.121;2022-05-23T20:10:00.121;31.5;0;77554;7.76
2022-05-24T00:15:00.082;2022-05-23T20:15:00.082;31.5;0;53721;8.16
2022-05-24T00:20:00.080;2022-05-23T20:20:00.080;31.2;0;22989;9.08
2022-05-24T00:25:00.088;2022-05-23T20:25:00.088;31.2;0;9443;10.05
2022-05-24T00:30:00.081;2022-05-23T20:30:00.081;30.9;0;3956;10.99
2022-05-24T00:35:00.079;2022-05-23T20:35:00.079;30.9;0;1544;12.01
2022-05-24T00:40:00.094;2022-05-23T20:40:00.094;30.6;666;669;12.92
2022-05-24T00:45:00.110;2022-05-23T20:45:00.110;30.6;1606;277;13.83
2022-05-24T00:50:00.081;2022-05-23T20:50:00.081;30.6;4347;109;14.91
2022-05-24T00:55:00.119;2022-05-23T20:55:00.119;30.6;8602;54;15.65
2022-05-24T01:00:00.079;2022-05-23T21:00:00.079;30.2;14846;32;16.24
2022-05-24T01:05:00.090;2022-05-23T21:05:00.090;30.2;19422;22;16.54
2022-05-24T01:10:00.085;2022-05-23T21:10:00.085;30.2;25884;17;16.86
2022-05-24T01:15:00.093;2022-05-23T21:15:00.093;30.2;31536;15;17.07
2022-05-24T01:20:00.079;2022-05-23T21:20:00.079;30.2;37818;12;17.26
2022-05-24T01:25:00.080;2022-05-23T21:25:00.080;30.2;38994;11;17.30
2022-05-24T01:30:00.079;2022-05-23T21:30:00.079;30.2;45467;11;17.47
2022-05-24T01:35:00.089;2022-05-23T21:35:00.089;30.2;50942;9;17.59
2022-05-24T01:40:00.126;2022-05-23T21:40:00.126;30.2;53346;8;17.64
2022-05-24T01:45:00.089;2022-05-23T21:45:00.089;30.2;53435;9;17.64
2022-05-24T01:50:00.113;2022-05-23T21:50:00.113;30.2;50168;8;17.57
2022-05-24T01:55:00.081;2022-05-23T21:55:00.081;29.9;54058;8;17.66
2022-05-24T02:00:00.087;2022-05-23T22:00:00.087;29.9;54553;8;17.66
2022-05-24T02:05:00.088;2022-05-23T22:05:00.088;29.9;53952;8;17.65
2022-05-24T02:10:00.084;2022-05-23T22:10:00.084;29.9;55058;8;17.68
2022-05-24T02:15:00.094;2022-05-23T22:15:00.094;29.6;61939;8;17.79
2022-05-24T02:20:00.081;2022-05-23T22:20:00.081;29.6;67714;6;17.89
2022-05-24T02:25:00.121;2022-05-23T22:25:00.121;29.6;75528;6;18.01
2022-05-24T02:30:00.089;2022-05-23T22:30:00.089;29.6;76830;6;18.03
2022-05-24T02:35:00.085;2022-05-23T22:35:00.085;29.6;76503;6;18.02
2022-05-24T02:40:00.090;2022-05-23T22:40:00.090;29.6;76811;6;18.03
2022-05-24T02:45:00.082;2022-05-23T22:45:00.082;29.3;70292;7;17.93
