# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 36
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: 
# Data supplier: 
# Location name: WCO
# Position (lat, lon, elev(m)): 41.965827, -71.183225, 30
# Local timezone: EST5EDT
# Time Synchronization: 0
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 5602
# SQM hardware identity: 0080A3EABD46
# SQM firmware version: 4-3-79
# SQM cover offset value: 
# SQM readout test ix: i,00000004,00000003,00000079,00005602
# SQM readout test rx: u, 00.00m,0000533737Hz,0000000000c,0000000.000s, 027.7C
# SQM readout test cx: c,00000019.98m,0000116.522s, 020.6C,00000008.71m, 034.4C
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.312
# UDM setting: Logged continuously every 1 minute on the minute,Threshold = 10 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2022-12-30T21:33:00.099;2022-12-30T16:33:00.099;24.1;0;9702;10.02
2022-12-30T21:34:00.088;2022-12-30T16:34:00.088;24.1;0;7960;10.23
2022-12-30T21:35:00.083;2022-12-30T16:35:00.083;24.1;0;6677;10.42
2022-12-30T21:36:00.080;2022-12-30T16:36:00.080;24.1;0;5680;10.60
2022-12-30T21:37:00.090;2022-12-30T16:37:00.090;24.1;0;4817;10.78
2022-12-30T21:38:00.085;2022-12-30T16:38:00.085;23.8;0;4068;10.96
2022-12-30T21:39:00.112;2022-12-30T16:39:00.112;23.8;0;3408;11.15
2022-12-30T21:40:00.107;2022-12-30T16:40:00.107;23.8;0;2834;11.35
2022-12-30T21:41:00.095;2022-12-30T16:41:00.095;23.8;0;2359;11.55
2022-12-30T21:42:00.084;2022-12-30T16:42:00.084;23.8;0;1976;11.74
2022-12-30T21:43:00.093;2022-12-30T16:43:00.093;23.8;0;1642;11.94
2022-12-30T21:44:00.088;2022-12-30T16:44:00.088;23.5;0;1348;12.16
2022-12-30T21:45:00.081;2022-12-30T16:45:00.081;23.5;419;1101;12.38
2022-12-30T21:46:00.092;2022-12-30T16:46:00.092;23.5;501;902;12.59
2022-12-30T21:47:00.104;2022-12-30T16:47:00.104;23.5;597;741;12.81
